time,itf_g,itf_t,itf_s,aghulas_box,aghulas_jet,amoc
2001-12-01,8.782828034309492,6.117977359526424,0.4881335501598012,-97.21252,-92.4947,12.862867
2002-01-01,9.004498597469565,10.860141720786135,-2.551303734033153,-90.77929,-100.08999,17.865377
2002-02-01,6.21330230089089,7.932630788943266,-2.29002682327506,-116.368805,-106.6054,17.406366
2002-03-01,5.372886050201705,4.5373733230187,0.1771354251016803,-82.22951,-93.75727,18.69699
2002-04-01,0.3461406066207827,-1.7042527930619933,2.898604390256854,-86.48903,-102.11385,17.508799
2002-05-01,1.4284799502499896,0.904107390168886,0.3691689358266528,-70.966774,-88.0712,17.884827
2002-06-01,11.92401946621049,10.736883148975505,0.6754596356599701,-68.50444,-91.29519,16.698364
2002-07-01,13.420481562519209,12.790375603473574,0.6892715703669223,-57.310085,-81.83884,19.569103
2002-08-01,13.238445616006068,10.398010322188158,2.2239223521657925,-99.74607,-116.439575,19.28453
2002-09-01,17.16163504999935,12.279631659726032,4.186123184385096,-61.49646,-80.253174,16.303923
2002-10-01,10.546234197693964,5.295930964288168,2.957601581362631,-78.47632,-86.02295,13.650779
2002-11-01,8.912243804381257,2.8734777454426874,3.7399858470114498,-64.54119,-72.40663,19.435
2002-12-01,9.74399458742942,5.398491150046501,2.1501878286524905,-102.69216,-101.694855,15.416185
2003-01-01,12.21163176097593,10.191741882408802,-0.98367793166342,-85.4622,-83.47748,14.751052
2003-02-01,9.172548838987248,7.480075734274507,-1.8246344644682764,-90.39557,-104.607155,17.41741
2003-03-01,7.436104419633017,3.697968980912756,0.7021698481148804,-93.00026,-98.4484,14.96942
2003-04-01,3.644470306769386,-2.809474846511202,3.4657641681829063,-88.928604,-78.95512,12.990155
2003-05-01,4.225269125209035,-0.5869002909406552,2.504566519896738,-92.70149,-111.32004,16.08417
2003-06-01,12.7257347548862,8.571996092495551,2.087812011528994,-75.87327,-95.55964,18.50147
2003-07-01,12.95598498405749,10.040984636473908,1.8033172669936748,-71.07855,-78.3933,20.780735
2003-08-01,10.615734127064744,6.989237680870017,3.324429777940073,-99.19913,-116.95798,19.70104
2003-09-01,12.475911516577405,8.425163321096365,4.716469867265919,-79.56634,-89.249916,17.781286
2003-10-01,3.279439607224376,1.282379831222822,3.097053832093434,-67.71238,-86.19623,18.155994
2003-11-01,-0.6239645830357275,-1.2699891964097092,2.913822991097256,-72.019806,-96.68329,19.483093
2003-12-01,0.6868976162926277,1.5169437310794316,1.136317351378596,-82.05628,-98.07959,18.28033
2004-01-01,1.2793555265151453,6.983806743290863,-1.1794079303219696,-89.819275,-90.88829,16.322138
2004-02-01,-1.5635541489509737,4.884162933907151,-1.105149849411042,-116.96625,-134.85733,17.792105
2004-03-01,-2.8619775495698407,1.9746660175900608,0.8552323833518265,-123.678185,-122.215416,18.38757
2004-04-01,-5.916117512156166,-3.8172752160670624,3.5778286020511096,-101.71481,-104.980835,17.909985
2004-05-01,-4.523678668783803,-0.7878526024831071,1.99546643705039,-119.7208,-90.06454,17.909006
2004-06-01,6.001457501608623,9.45009687430635,2.2084985362534177,-98.20317,-104.109,13.854469
2004-07-01,8.450679596027685,11.623587821278246,1.9250499057701445,-86.14777,-103.126274,20.608376
2004-08-01,7.624981879445186,8.898535912303586,3.060994997404474,-65.36597,-77.96527,18.780952
2004-09-01,11.45478127900576,10.615913914936474,4.543135870246626,-63.91461,-83.34055,20.282433
2004-10-01,4.058504987656087,3.4337341083776494,3.831588073043392,-77.74903,-90.35062,15.211351
2004-11-01,2.100016537764241,0.7151445015314204,2.9835408826364684,-83.25422,-105.17113,16.085264
2004-12-01,3.047902007092113,2.951926420009763,1.929091154224192,-82.430405,-102.46083,21.759232
2005-01-01,4.510066271144336,7.642101002576218,-1.241718085363604,-78.90911,-97.031975,21.527998
2005-02-01,1.3778614760020456,4.852946732805832,-0.1507166828455735,-68.155594,-88.248436,14.138733
2005-03-01,0.0165733418666319,1.3629320889599708,2.392050758408736,-37.89208,-59.76593,16.437033
