time,aghulas_box,aghulas_jet,amoc
2009.0,-103.84209,-121.97758,15.648851
2009.0849315068492,-95.342964,-97.62799,15.105632
2009.1616438356164,-135.25984,-148.20348,15.568699
2009.2465753424658,-92.229095,-87.821014,15.907563
2009.3287671232877,-103.70771,-86.996864,19.36287
2009.4136986301369,-63.153587,-81.78091,14.593329
2009.495890410959,-65.81124,-85.35648,17.28841
2009.5808219178082,-60.082092,-81.029686,17.640247
2009.6657534246576,-68.88315,-86.73071,15.476068
2009.7479452054795,-79.74956,-96.666046,15.973371
2009.8328767123287,-72.37945,-100.344986,14.9383545
2009.9150684931508,-132.34628,-108.86364,12.379179
2010.0,-88.75212,-99.65946,10.062349
2010.0849315068492,-83.18906,-92.0295,10.711256
2010.1616438356164,-86.23659,-89.330315,10.768037
2010.2465753424658,-112.99363,-131.81805,13.195499
2010.3287671232877,-92.20323,-93.99285,16.50073
2010.4136986301369,-81.421265,-116.25553,18.458206
2010.495890410959,-89.15393,-111.89446,17.87717
2010.5808219178082,-79.13198,-95.59563,17.119022
2010.6657534246576,-101.10602,-121.22596,21.197472
2010.7479452054795,-85.965904,-83.733795,19.817327
2010.8328767123287,-66.717964,-86.69163,15.440656
2010.9150684931508,-54.978165,-80.89209,7.1468177
2011.0,-85.68511,-112.0688,15.726152
2011.0849315068492,-92.65743,-91.88145,18.606459
2011.1616438356164,-108.58337,-117.340515,13.164505
2011.2465753424658,-86.40547,-97.55193,15.720636
2011.3287671232877,-82.74074,-98.32256,12.888551
2011.4136986301369,-79.596466,-87.79281,13.481917
2011.495890410959,-64.531746,-72.33537,15.909365
2011.5808219178082,-50.698143,-71.13923,17.763474
2011.6657534246576,-14.799936,-66.09623,16.174402
2011.7479452054795,-47.467525,-76.20832,19.493979
2011.8328767123287,-96.56233,-114.676056,16.772009
2011.9150684931508,-93.55363,-81.03963,17.68165
2012.0,-87.144165,-90.74768,16.014324
2012.0846994535518,-70.40416,-89.83776,15.7786665
2012.1639344262296,-72.19707,-90.79398,18.569609
2012.2486338797814,-79.61212,-95.42138,13.487705
2012.3306010928961,-74.967445,-84.92404,12.408097
2012.4153005464482,-72.15924,-89.99581,11.219232
2012.4972677595629,-58.462337,-76.12752,16.415712
2012.5819672131147,-66.20701,-80.36427,16.227663
2012.6666666666667,-57.71314,-79.14905,13.939079
2012.7486338797814,-63.218224,-86.224075,15.426925
2012.8333333333333,-75.04962,-93.10688,16.012676
2012.9153005464482,-97.12885,-91.94124,18.281937
2013.0,-102.784615,-117.22481,14.973392
2013.0849315068492,-79.53695,-85.14005,15.629463
2013.1616438356164,-98.846375,-83.61419,6.0777125
2013.2465753424658,-97.504135,-112.71207,13.820291
2013.3287671232877,-107.81338,-127.09651,15.31376
2013.4136986301369,-101.35975,-93.703766,16.893099
2013.495890410959,-98.64115,-86.171104,17.713146
2013.5808219178082,-90.12913,-100.83683,18.16627
2013.6657534246576,-60.959488,-85.24544,16.873537
2013.7479452054795,-95.756355,-78.639534,16.476955
2013.8328767123287,-86.32651,-95.73008,19.128538
2013.9150684931508,-123.017685,-125.66225,16.755129
2014.0,-107.19369,-106.88721,17.63514
2014.0849315068492,-110.33492,-114.349785,16.438972
2014.1616438356164,-109.00451,-130.56538,13.565308
2014.2465753424658,-106.56391,-86.650665,12.272948
2014.3287671232877,-107.38228,-104.55456,14.105897
2014.4136986301369,-77.714554,-57.88051,14.697399
2014.495890410959,-89.46075,-70.39022,15.097731
2014.5808219178082,-57.26062,-63.606384,14.064772
2014.6657534246576,-95.34153,-98.68354,15.858141
2014.7479452054795,-110.09233,-86.912506,16.871183
2014.8328767123287,-89.6271,-98.94853,18.630642
2014.9150684931508,-70.5901,-65.99531,15.473151
